Customer_ID,Meter_No,Name,City,House_Type,Members,Appliances,Previous_Reading,Current_Reading,Units_Consumed,Billing_Days,Rate_Per_Unit,Fixed_Charge,Tax,Bill_Amount,Payment_Status
C001,MTR1001,Arun Kumar,Chennai,Flat,3,8,12540,12760,220,30,5,100,55,1255,Paid
C002,MTR1002,Priya S,Chennai,House,4,10,9840,10120,280,30,5,100,70,1570,Paid
C003,MTR1003,Rahul K,Bangalore,Flat,2,7,7320,7490,170,30,4.8,90,41,947,Paid
C004,MTR1004,Divya R,Coimbatore,House,5,12,15420,15780,360,31,5.2,120,94,2086,Pending
C005,MTR1005,Karthik M,Madurai,Flat,3,9,6240,6460,220,30,5,100,55,1255,Paid
C006,MTR1006,Anitha P,Chennai,Flat,4,11,11320,11640,320,30,5.2,110,83,1857,Paid
C007,MTR1007,Suresh V,Salem,House,5,13,8520,8900,380,31,5.3,120,101,2235,Pending
C008,MTR1008,Meena K,Trichy,Flat,2,6,4580,4720,140,30,4.5,80,32,742,Paid
C009,MTR1009,Vijay S,Bangalore,House,4,10,10450,10720,270,30,5,100,68,1518,Paid
C010,MTR1010,Lakshmi R,Chennai,Flat,3,8,13820,14030,210,30,4.9,90,51,1170,Paid
C011,MTR1011,Manoj T,Coimbatore,House,4,11,9210,9530,320,31,5.1,110,82,1824,Pending
C012,MTR1012,Sandhya P,Madurai,Flat,2,7,5630,5780,150,30,4.6,80,35,805,Paid
C013,MTR1013,Arun S,Salem,House,5,14,12780,13200,420,31,5.4,130,113,2511,Pending
C014,MTR1014,Nithya K,Chennai,Flat,3,9,8450,8680,230,30,5,100,58,1308,Paid
C015,MTR1015,Prakash R,Bangalore,House,4,12,10920,11240,320,30,5.2,110,83,1857,Paid
C016,MTR1016,Swetha M,Trichy,Flat,2,6,3870,3990,120,30,4.4,80,27,635,Paid
C017,MTR1017,Ramesh V,Chennai,House,5,13,14620,15040,420,31,5.4,130,113,2511,Pending
C018,MTR1018,Keerthana S,Coimbatore,Flat,3,8,6780,6960,180,30,4.8,90,43,997,Paid
C019,MTR1019,Mohan K,Madurai,House,4,10,9340,9610,270,30,5,100,68,1518,Paid
C020,MTR1020,Deepa R,Chennai,Flat,2,7,5120,5260,140,30,4.5,80,32,742,Paid
C021,MTR1021,Ajay P,Bangalore,House,5,14,12100,12560,460,31,5.5,140,126,2796,Pending
C022,MTR1022,Shalini K,Chennai,Flat,3,9,7840,8080,240,30,5,100,60,1360,Paid
C023,MTR1023,Sathish M,Salem,House,4,11,6580,6870,290,30,5.1,110,74,1663,Paid
C024,MTR1024,Revathi S,Trichy,Flat,2,6,4320,4450,130,30,4.5,80,29,694,Paid
C025,MTR1025,Gokul R,Coimbatore,House,5,13,11840,12220,380,31,5.3,120,101,2235,Pending
C026,MTR1026,Harini P,Chennai,Flat,3,8,9620,9830,210,30,4.9,90,51,1170,Paid
C027,MTR1027,Balaji K,Madurai,House,4,10,7250,7510,260,30,5,100,65,1465,Paid
C028,MTR1028,Pavithra R,Bangalore,Flat,2,7,5160,5320,160,30,4.6,80,37,853,Paid
C029,MTR1029,Dinesh S,Chennai,House,5,14,13520,14010,490,31,5.5,140,135,2970,Pending
C030,MTR1030,Shobana M,Salem,Flat,3,9,6420,6650,230,30,5,100,58,1308,Paid
C031,MTR1031,Rajesh P,Coimbatore,House,4,12,10840,11160,320,30,5.2,110,83,1857,Paid
C032,MTR1032,Monika S,Chennai,Flat,2,6,3950,4070,120,30,4.4,80,27,635,Paid
C033,MTR1033,Vignesh K,Bangalore,House,5,13,12920,13330,410,31,5.4,130,111,2455,Pending
C034,MTR1034,Swathi R,Madurai,Flat,3,8,7080,7260,180,30,4.8,90,43,997,Paid
C035,MTR1035,Sanjay M,Chennai,House,4,11,8960,9240,280,30,5,100,70,1570,Paid
C036,MTR1036,Anu P,Trichy,Flat,2,7,4680,4820,140,30,4.5,80,32,742,Paid
C037,MTR1037,Raghu S,Salem,House,5,14,11420,11870,450,31,5.5,140,124,2739,Pending
C038,MTR1038,Divya M,Coimbatore,Flat,3,9,6210,6440,230,30,5,100,58,1308,Paid
C039,MTR1039,Kiran R,Bangalore,House,4,10,10350,10630,280,30,5,100,70,1570,Paid
C040,MTR1040,Preethi K,Chennai,Flat,2,6,5490,5620,130,30,4.5,80,29,694,Paid
C041,MTR1041,Surya P,Chennai,House,5,13,14120,14560,440,31,5.5,140,121,2681,Pending
C042,MTR1042,Geetha S,Madurai,Flat,3,8,7620,7820,200,30,4.9,90,49,1119,Paid
C043,MTR1043,Aravind K,Coimbatore,House,4,11,9740,10040,300,30,5.1,110,77,1717,Paid
C044,MTR1044,Anjali R,Chennai,Flat,2,7,4320,4480,160,30,4.6,80,37,853,Paid
C045,MTR1045,Manikandan S,Salem,House,5,14,12580,13010,430,31,5.4,130,116,247? ,
C046,MTR1046,Roshini P,Bangalore,Flat,3,9,6810,7040,230,30,5,100,58,1308,Paid
C047,MTR1047,Krishna M,Chennai,House,4,12,10820,11170,350,30,5.2,110,91,1921,Pending
C048,MTR1048,Divya K,Trichy,Flat,2,6,3720,3840,120,30,4.4,80,27,635,Paid
C049,MTR1049,Manoj R,Coimbatore,House,5,13,11920,12340,420,31,5.4,130,113,2511,Pending
C050,MTR1050,Akshaya S,Madurai,Flat,3,8,5920,6100,180,30,4.8,90,43,997,Paid
C051,MTR1051,Arun P,Chennai,House,4,10,8140,8420,280,30,5,100,70,1570,Paid
C052,MTR1052,Kavitha R,Salem,Flat,2,7,4560,4720,160,30,4.6,80,37,853,Paid
C053,MTR1053,Saravanan K,Bangalore,House,5,14,13240,13720,480,31,5.5,140,132,2912,Pending
C054,MTR1054,Deepak S,Chennai,Flat,3,9,7210,7450,240,30,5,100,60,1360,Paid
C055,MTR1055,Swetha P,Coimbatore,House,4,11,10020,10320,300,30,5.1,110,77,1717,Paid
C056,MTR1056,Ramesh M,Madurai,Flat,2,6,5140,5260,120,30,4.4,80,27,635,Paid
C057,MTR1057,Sharmila K,Chennai,House,5,13,14520,14980,460,31,5.5,140,126,2796,Pending
C058,MTR1058,Pradeep R,Trichy,Flat,3,8,6350,6540,190,30,4.8,90,46,1048,Paid
C059,MTR1059,Keerthi S,Bangalore,House,4,10,9280,9570,290,30,5.1,110,74,1663,Paid
C060,MTR1060,Vimal P,Salem,Flat,2,7,4820,4970,150,30,4.6,80,35,805,Paid
C061,MTR1061,Hemanth K,Chennai,House,5,14,12360,12820,460,31,5.5,140,126,2796,Pending
C062,MTR1062,Reshma R,Coimbatore,Flat,3,9,6740,6980,240,30,5,100,60,1360,Paid
C063,MTR1063,Yuvaraj M,Madurai,House,4,11,8650,8950,300,30,5.1,110,77,1717,Paid
C064,MTR1064,Haritha P,Chennai,Flat,2,6,4210,4340,130,30,4.5,80,29,694,Paid
C065,MTR1065,Suresh K,Bangalore,House,5,13,13720,14210,490,31,5.5,140,135,2970,Pending
C066,MTR1066,Monisha S,Salem,Flat,3,8,5820,6010,190,30,4.8,90,46,1048,Paid
C067,MTR1067,Raj Kumar,Chennai,House,4,12,10480,10820,340,30,5.2,110,88,1866,Paid
C068,MTR1068,Swetha R,Trichy,Flat,2,7,4680,4840,160,30,4.6,80,37,853,Paid
C069,MTR1069,Naveen P,Coimbatore,House,5,14,11620,12070,450,31,5.5,140,124,2739,Pending
C070,MTR1070,Shalini M,Chennai,Flat,3,9,7350,7580,230,30,5,100,58,1308,Paid
C071,MTR1071,Pranav K,Bangalore,House,4,11,9820,10130,310,30,5.1,110,79,1800,Paid
C072,MTR1072,Anitha S,Madurai,Flat,2,6,3940,4070,130,30,4.5,80,29,694,Paid
C073,MTR1073,Mukesh R,Chennai,House,5,13,12840,13300,460,31,5.5,140,126,2796,Pending
C074,MTR1074,Priya K,Salem,Flat,3,8,6120,6310,190,30,4.8,90,46,1048,Paid
C075,MTR1075,Senthil P,Coimbatore,House,4,12,10820,11190,370,30,5.3,120,98,2179,Pending
C076,MTR1076,Deepa S,Chennai,Flat,2,7,4860,5020,160,30,4.6,80,37,853,Paid
C077,MTR1077,Akash M,Bangalore,House,5,14,13420,13910,490,31,5.5,140,135,2970,Pending
C078,MTR1078,Divya P,Trichy,Flat,3,9,6420,6660,240,30,5,100,60,1360,Paid
C079,MTR1079,Ramesh K,Madurai,House,4,10,9180,9470,290,30,5.1,110,74,1663,Paid
C080,MTR1080,Latha R,Chennai,Flat,2,6,4250,4380,130,30,4.5,80,29,694,Paid
C081,MTR1081,Vishnu S,Coimbatore,House,5,13,12120,12570,450,31,5.5,140,124,2739,Pending
C082,MTR1082,Anu K,Salem,Flat,3,8,5740,5930,190,30,4.8,90,46,1048,Paid
C083,MTR1083,Suraj P,Bangalore,House,4,11,10520,10830,310,30,5.1,110,79,1800,Paid
C084,MTR1084,Keerthana M,Chennai,Flat,2,7,4720,4880,160,30,4.6,80,37,853,Paid
C085,MTR1085,Manoj S,Madurai,House,5,14,12920,13400,480,31,5.5,140,132,2912,Pending
C086,MTR1086,Shreya R,Coimbatore,Flat,3,9,6860,7090,230,30,5,100,58,1308,Paid
C087,MTR1087,Arun M,Chennai,House,4,12,11320,11700,380,30,5.3,120,101,2235,Pending
C088,MTR1088,Pooja S,Trichy,Flat,2,6,3860,3990,130,30,4.5,80,29,694,Paid
C089,MTR1089,Karthik P,Bangalore,House,5,13,12480,12920,440,31,5.5,140,121,2681,Pending
C090,MTR1090,Meena R,Chennai,Flat,3,8,6250,6440,190,30,4.8,90,46,1048,Paid
C091,MTR1091,Rahul S,Salem,House,4,11,8720,9020,300,30,5.1,110,77,1717,Paid
C092,MTR1092,Nandhini K,Madurai,Flat,2,7,4530,4680,150,30,4.6,80,35,805,Paid
C093,MTR1093,Vijay P,Coimbatore,House,5,14,13620,14110,490,31,5.5,140,135,2970,Pending
C094,MTR1094,Harini S,Chennai,Flat,3,9,7180,7420,240,30,5,100,60,1360,Paid
